citation_id,citation_topic
42573358ca9bacee4faaf2d661ab63b22f23a644>0760fed3ac924a8540a8f8761665853eb93b206d_0,"protein secondary structure assignment algorithms (DSSP, STRIDE, SECSTR, SST)"
eb5ed59d2aa22945368ae773566e739215b65e85>93084b8567c01a35d7e2907ef15909dfaf2bb22d_0,discrete wavelet transform with Gabor basis for spectral estimation
50ee5cb5e86c937ac7c4e9be54fb600427c5dc4a>b5219f84559b8f5ea439bec481abf4c231f0c980_0,physicians following protocol intentions vs strict actions
e37ab67abffcb65deb4821c3bc5aa4a1bf687f4d>5ade47c39c6d358d3cf741dec92ca027ae22e8c6_0,preservation of leaf litter samples in ethanol/formalin solution
4811e7490acff2a183c7194ecf165087c3165767>2eebfd86c03ffb541ed97a512863f0d986cc2929_0,sparse spectrum Gaussian process regression feature count optimization
d0d4c632cb7ac291df4f2e3b223594fd6866a503>53af9dcb73a8b6190433bda4a072ae24695bdd4c_0,"tuber yield/growth comparisons across potato, yam and taro"
10dd055d4276a7c2f17192717a22d824783c48cb>0d10e553c0a46e7384b3c34dc45bb063843a8300_9,fairness principles of horizontal equality and equity
4284bcb5b7dd0b5e195ce447d8306486c42db5a7>e0d2861a9022667a93a8a0573d44f238f7c3a027_0,symmetrized similarity matrix spectral clustering (Ng et al. formulation)
2c7b6d55f9fd85b38d4cb11954a8a3090a243a24>8a9a42bf8f8af8a0805e8f5062d64e33336eed45_0,effect of concomitant inferior rectus recession on horizontal deviation
ecece291fa3fbeeea14dce9ff6480a36a4dfcc27>b9907225d13b04b390e43aad50866408e25f3d5e_1,analytical detection methods: mass spectrometry and NMR spectroscopy
d2453e86d9eb0c2961d97753acd2c8462b22e1ce>9b0628d503edf994bdfd285d283c63df1222ceef_2,verbal/nonverbal judgments used to measure surface orientation perception
22e38559ed1047240569040193dbdba40415d9d8>52ac6488f93aca477a32a8ce2376e9619a0735d8_1,incobotulinumtoxinA (Xeomin) as complexing-protein-free botulinum toxin
c2173ce0ddfebf42f2adcb24c437f3c85b4c902b>9c6d2d4ddae8c1dde3b08df93a8086bf1e6d39b6_2,shared placodal origin and hair-cell receptor mechanism of sensory organs
6dad38a0e51635d7911f6469a79c242ef6f49910>031fd88ad7b199eb8508eb96fb37e794f8407991_0,triplet codon-amino acid binding origin hypothesis for genetic code
9873eee571cb2d50a3c5e2f04bbf2d988c51d514>3735608cf7fa9bb9192158eed402482482ddd13e_0,host-specificity variability of plant-microbe interactions across crops
fc2fa61db68563e26daafe962633ab2b7e8e8b3d>18dba91edf38fe354fd3a1123737185c841be419_0,HDAC4 siRNA knockdown inhibiting denervation-induced muscle atrophy
d44e670d26631ae2ff9e79f10a77e473f55ae2a2>0c6bd2227cbb2c90f19a98b2a00f140e0c299d34_5,distractor suppression effects on attention and visual short-term memory
aee140fa3ea6fcdbec76a08e602694b48ba82742>b3bdff2b2034d8a9c4bfe2504f467b6d65fe17fb_2,P300 event-related potential elicited by Go stimuli
a429f6b8fed05da307f2e94c0994e10c2296d134>8ebfbfcab567228e7f07bea5f75974313adf92b9_12,training data splits and preprocessing following Müller and Schütze (2015)
729872b3e670dac4d51469e2bc17b0071e3dbce6>ed896e2ed8ae10040b5ff5fa8d0c755ee507c874_0,criteria for classifying short-latency reflex EMG responses
1a5f3c7ce21bd8dafdc9a79b2741bcd5d7f4564e>1e553964ccc8ccc090450aaebe1c87aaacf9ec83_5,selection pressure on bindin gene evolution in sea urchins
e1067b6a3429636615ecabc90845672e56ac3996>None_0,co-occurrence of lung and liver hydatid cyst involvement across regional studies
03b4ea9c8dde32ed3cebe626e00b78509d4704ee>de941d33494482fba65bf72d903412f323232b09_0,idea exposure increasing productivity in electronic brainstorming
658a7a503959f59327486b914110251b0e5597ff>c78ba4ba65361d2a4b46f10dbc86a0c5ffeb7044_1,pharmacokinetic interactions of vitamin K1/K1O with anticoagulants
0a3e665974a0630c0a3580d9d737ca432701dd59>c430c2604392205046733b47b217d5ea01b96330_0,lack of dose-response for low-dose LMTM vs earlier methylthioninium chloride trial
dfad7e8c635673aa87e38e307175485348739048>d5487aa4bd81a062cfdaf15b5f289ede1d2dfe6e_0,successive over-relaxation algorithm for solving QPPs
50b2b14bdff972bdeca0d0db75d0f2cba5b2f99a>997ec6defbf30d8dd41f32785fc8d0468ad2c15d_0,duplication history of ancestral alpha-globin gene lineages
00eea3644491b0fcf74c49aa211fa2a24a6e3d3e>2271b873cf8e52856c38eae82751d2b1421007c5_3,"RNAi gene knockdown effects on tick attachment, mortality and fertility"
cbc308bee74319c2bf4c2fa3c8efe0db2fe84dc6>f40a16c7d8ea7fd91219e897c75ede2665b617db_7,acoustic mechanism model explaining vortex sound frequency range
e9f05bfe64168341ef92877de83b6d054ab6bfc5>16ec74d99263859efd3ee5d2010d40ff16133847_2,HMGA2 down-regulation via ALK signaling gene knockdown model
0021ea82506c8ad38b459cf2fbd42fc42b062fd7>11a5f833bef73720e1c85253578a92a99cbdf35e_7,molecular dynamics simulations of misfolded DNA hairpins and G-quadruplexes
46f0f63415faa4fb75dd6d2330842549a859596b>18181ed5d9212652cb89d4af3d27a9d49b0efbe9_5,TRAF6 knockout rescue of IL-1 signaling by reexpressing wild-type TRAF6
a8c8a1ad99b42688bd933cbd8f1a09a614e85f40>4690a46630ce14c92901027b718c5aa6d6672319_0,willingness-to-pay multiple price list task design (Meier and Sprenger)
6fc5ac6855c8abd22c2146b3e37fa3c6cfd2c211>a447f82f235cbd165a8c23848f1390755dace24f_0,GFAP as a brain-specific astrocyte marker protein
d9f3207db0c79a3b154f3875c9760cc6b056904b>2cc6ff899bf17666ad35893524a4d61624555ed7_10,kin proximity in nest burrow spacing across long-term field studies
09118942762c66188afff6fa28d19fbc6129e569>34ab58db5f1a510e8229228cfed45e491b09b761_2,SD03-15 amino acid sequence identity to SD01-08 PRRSV strain
97c7db9307f3b78bbbc78c345487f0dd0665831e>f7453d3161a403c3ca66dfa9fe1310173a6c0b8f_0,adherence effects on protective efficacy of household water treatment interventions
