citation_id,citation_topic
599de37e6628fd9e2f42eff08de73e85fc9e3e10>d55c95cedf9904a2776b682518c24b4d4d96bec7_11,progressive deformation phases with evolving layer thickness
8a4c6e2cf1a98699d214beb16be885939a1831d1>03e1d2581af87870ec37b369517f8a9440123d70_1,demacrofication technique replacing macros with function calls
624e6de05b43da1a74665a5e8bb4cc29d6801f6b>7f697a5d630575a4df0a0c71266496a905f2d5d3_0,method for measuring colony size (Skorka et al.)
93570227d802f3f37f46a42a69016470b8d09789>41a02766e691213fd4840ca2d296a5e4815e6127_0,table-based and polynomial approximation methods for limited-precision arithmetic
7b402c04c69e1719b7a5e3ec722f4b20a655b222>86aaef532a0a99a86d83d3b10cf229ce7c45c31d_0,PAML codeml program for dN/dS calculation
b603e41fe01e780dc3320ff0245005e193afe17e>fa7c45877a011892020fb5362cef514266ec8802_3,list of prior background references without a shared specific topic
482a6e8cdf2658f1e0d0d446c65013a724ec3ebe>d1ee4ae4d3493211a79a5f253b409bef8456f4f5_1,antisense suppression of NAS gene in Arabidopsis
4a111cb58456743375e740889b3dba326813fa84>3b34833632505e8a26734d128c487d930ef0e8f6_0,precursor cell origin explaining differentiation potential differences
374ea9e57080f052207cf4670c270a0fab22aa94>020fbe47aa5d100ab9ab8a4f10bd44bebc07c31f_4,consumer trust model for nanotechnology food risk perception
27ea0aa5f8d3e1dc7c449aceef59524dd32307b5>21cc7a2a24c33fe78ab21acf5ea2d548fa11b0d3_4,DRA/Slc26a3 role in intestinal oxalate absorption
49d61cad0b43291612bd029e6183e304995a1664>26c5cf3a6579bee9eec4a7d02d2ffd61d5b7856c_4,peripheral spread-of-excitation argument against recruitment mechanism
288fe5cbc0e0280028441484ff332b42dcf4f2d6>06bb63d7fac70b65a1cb2d58b5089edf2a4a58f8_2,pyrosequencing-based DNA methylation level analysis
937444dc1ba977382b4c92eb9eab8518401fe154>156fb7b12ac3780dc3135685202f9ca520b99d21_7,reduced Cx-43 and Tph1 protein expression
13348c00f3dad6d47cb6298bd25035fe2aee57b5>96694a94c04a62589f8f263650af99b34a0fff3d_0,repeated MERT runs to address MT optimizer instability
e362fab4b510af306d3e52bf3ccf0ff8cbbb83ba>ddeebbf2713d0cb2d19d14e83b6d0bd07dbc1896_0,unstructured interview methodology
1695be1beb54bd821bdc511c4e3f1b83cbd59159>feb0883f43151c871fe73e8c2b84ab3efa6499ce_1,acoustic trauma-induced loss of glycinergic receptors in cochlear nucleus
b66eb0bfa520726f50d86a62388c086c7046a6cd>d8431c25f60a51517a29162ed70df2de35ee156f_4,soil temperature control of methane-producing microbial activity
649da5dc00caf98ed897ade21a16e625ec328d6c>13addfbdfeb738a413365e3df0904a39416aa7ba_13,weight loss outcomes in African-American vs Caucasian women
571987bcb1353f81dd30606209c84e8899e5c368>198679eee53032443122b876740e707d56a3a645_6,HER2 overexpression in gastric and Barrett's oncogenesis
fc2f113764f20bfec6eb5ab5e6e796d3ac40e1f7>aa73756cb293b4322b41a025b58f9d522787e48d_2,exercise training improving fitness in HIV-positive individuals
3874a1098d1e34b107a9c4ba1a1e200070de15b0>7d253f083d75e9cba4af91751451b379fb5c37a3_1,postprandial hypotension as autonomic failure in Parkinson's disease
859718028feca7f5963b5dca10cc2472426b39bb>9019a74bbb00201a86a95b4bd7c0fd3c03b4af54_6,AAV capsid VR-VII residues in immune recognition and transduction
