citation_id,citation_topic
ab912069f9a6fd0c847cb5547a7c3a155bc3aa5d>ce6ebfefcad4682bbd03d8771d7d5fd5b9acaaae_0,experimental design for measuring game entertainment level
7b0ca6f15e76f285cc19efd2305cb1ec9e16a5b5>df90f3e882609d15c298251608a5b48b69efb3b8_8,planted vs unplanted wetlands and nutrient removal
7cc0ea202df08bc44a50f77fe498708bec258585>2cd8f79fef2fe8067c1b025c580fec6551b34890_0,Begg's and Egger's tests for publication bias
47851e108a5855cb0fd375c9bdd039f78cc16c25>02bf68795fa74f0984701fa84df877a27dae6a2f_5,identifying restrictions for economic policy uncertainty shocks
c14687575d73745afea49899565009f12ae62dfb>5e57b8879a83e91af5daef8737ccda0c9556fd7e_8,score function limits for comparing distribution factorizations
1a8e2dac8bf06a7a2db9b9928b442921efa69061>533fdd3ebedaa0fdee7760ecbe828c9c4e11af08_4,ethylene's inhibitory effect on plant elongation growth
612073fb1ca5ba06b9406aa7a0f05ab33f270304>315afbe6daed80c0d32340d814dc819593c2ce14_1,TRIM5-alpha contacts with lentiviral capsid protein
440a87ddd8a44f8cb07d36f87eeff32bc8425b28>a7dbee568a136baf5661953a3870c5a64ae138aa_1,methanol extraction method for resveratrol from transgenic plants
a895b5af5cdd777b2e43112419312fbbd6a4a448>e7007a973684e3fa91bab2a0d7a321a0e22e8c99_2,dynamical behavior of neural networks with discontinuous activation functions
750a96b803e09cc73579ec6f3205208498ed9cc1>5259665eed2d9c6bda95d35950822686d9638457_5,Aurora-A kinase N-terminal domain binding to catalytic domain
c6936eac1c7c16431872cf377bde40e895bb94e4>6537987f77a71ba5e55ce85f47fc03be820bcd68_0,Kampo medicine effect on NF-kB nuclear translocation
a7fe73f3033da8b9d6e8e0ba26878e4d2f55246d>bec2ac97adbe7f97141afe35fc53cf4d209d40f3_4,scratch assay protocol for dermal fibroblast wound healing
65ab6b0103d5e77527d53271e9e43548a60aca60>5eed110e25b6247d9dcc3962a59b2a08e2b937f3_7,studies on continuous traction for nerve root disorders
bbcf8feb702dc090e17a4834bb2e33599ffaa04c>409828fe11ca1326f3f8247b8c16f1544fbf343b_1,"plant genome databases (Phytozome, GreenPhylDB, PLAZA) for TF research"
1596994f7c0cc63dd33ecac9bae63cbcab4e31f0>a0003d3b8be9c44a96cf44599d5c473afd7f131c_0,invaded vs native range of an invasive ladybird species
998b2e755456700a4fc07c6dd1f32d243899d09f>c5162ef5c68848eba50818b64f7a783f1cde4c73_13,IL-17 blockade effect on neutrophil recruitment
4f4c6a035c0c28cfe5855a720a8f7a16a401e9f8>0451f005e25d672931091e7f4f16bc16b3ce04f9_0,lack of animal studies supporting ORM nasal patency assessment
823a49c10ce0e05613afbe8bbda7b7219e43d2c5>4448616a83a88c54e1ffddf0390716630f9a4b70_13,voice activity/vocal datasets across multiple languages
4c6d41b5241a2d80b993632d7e89acdb9fedef74>45ee8db9be57b97522566b1d1f6d2433cc464b72_7,three-subscale structure convergence of the I-QoL questionnaire
4856e1e0dea4bbc486840101ffe6e410056cc78c>375ded3d4c1f91e9d7bc33b0e0bbc8f9ecd96e64_2,case series of unilateral papillitis with vitreous opacity
b09c60cf0fe5d5c843384b8ee7ac9c6da386a70c>None_0,Nigella Sativa beneficial health outcomes across studies
d776ade6bb4898c032b971d2cec145976408e838>22e3889f93c19c15b746c1339ce9d7439ccb632e_0,factors contributing to poor sleep quality
e7fc18fc91034d55cb0dcc1e466486a03768318c>e19fba18ed9633768806c41ec5b89239ae3f1e42_0,discontinuous PWM techniques for multiphase inverters
946fe11c05f0a3f46593d0c6ad02e6e630e86a7c>4e244d95027403be54e2248eca310b3a57e43c14_1,corpus-based prosodic model and diphone synthesizer for Greek TTS
b8bffa786710b52c95201796bade07fc2ad3f38d>0049b630e0bf4b14e76e36615c33aed0c39c3dd9_1,complexity of the clique-transversal decision problem
3b1fee9510b99585557de0d30852ae1e75cbbd26>14665674e2db3e3b7b16ebe7ecab87bfdf7c0e41_0,types of plastic packaging materials
45b494f982aa56b15771b334ec617d684008665d>f76b021b2e67dc2482230be64f5a8869835a2b78_1,mechanisms of alcohol effects on pial arterioles
a916523d51c7913d6210da07673a382d8043dce6>69e7cc9f4c119ba490b38e791465fa510d4265f3_0,study similarities in comparative results (Velthuis et al.)
c7d22430c0d60b90464ca543456b37d1887e413f>5c9959c57c75957956704cd8ea78c38b67369d93_1,sustainability planning predictors for program continuation
f690c2387d4aa7d415f1b6faba6ad15fce57de90>2566fbc8f3c03f790a5646c85fe12b8dc58075b5_0,pH-induced virus-cell membrane fusion
c4f4a8915532830d49bd693083e3e9afb89cbf33>69576823e24b4f03527b545bccdd495468a0deb4_0,OCT subretinal fluid vs fluorescein angiography leakage correlation
d3ec746e4b2cc8fffc3cce7a9b5c0a7de44a168c>d04b2ec8089a6489bc9121f49d3106fa093fe4ea_1,illusion duration difference between dyslexics and controls
3519a9fb317c4df1b30b5dc090cc083afab9f2b1>7f185882e50d73615d92eedecb037d2e878a3b84_3,multiview PnP/PnL camera pose problem
7fec7e6faa2f0184416298b270aafaf237fbc558>6a3cbf4acc8e436aefd7e7cd25fcf70bf80a7105_2,Novel Object Recognition task protocol
