citation_id,citation_topic
dffd2f87ed5a799c12e2c3548f18b03e6df438e9>617eeed244b52dbac0b7bada47c6102c13320fb1_0,surgical technique comparisons for complication and recurrence rates
3e4d589ac63ea35b3eae8bb82702606892eedbc1>bbf756e2a46907d24daa9f70b1fdd57bddc5d75d_1,N-acetylation as a metabolic detoxification reaction
0a4619b65905995c9dc2b324f14b07236c46588b>2ec9f0a512ec3c1b168646a37c53918155a38428_15,zooplankton assemblage structure related to reservoir size and retention time
325ef4d0e68e476e620d7516d39bb038c6177797>b61551d1f36bbeb49bf7c6e9e861b8e56c78d6b9_0,molecular weight cutoff differences between acids and bases by ionization
b53cb6432753734857c53b0de9e438627db84066>59dce7e76be453a06dc9795ea8959d460cb394d1_0,association between depression and cognitive processing speed/executive function in MS
41d69df1533f4ae4ef6157e6645ad37f3c540ce0>c1e05d9fa428e6b081081d4d4948ef498259047a_3,MMA and DMA as key human arsenic metabolites
7a79eec6ba2b5efd7806ab6130630cb8240e8c75>cf0f5480b5dba14af9c23ad22df13f6970dc65e7_0,preparation of spinal cord slices for electrophysiology recordings
ad4e0a20046326e3bb7a6514d41c38bf902aa69c>1959ef6015c3098b4bd4fa6ee8b76479fad3a390_3,OX1 receptor upregulation on microglia during CNS inflammation
93f26b849a2ec17805a9eca6e1271d86684475ae>cbed6293233f9eb4ac5ca8b9b427889dcdb5dd9d_0,"disturbance regime attributes: duration, timing, autocorrelation, severity"
94ce9fc44fb125fbeebe71dfc1882a9205c9fcec>56841ef4df8b2097fdac8cfa1d9382e944814188_3,transcription factor displacement from mitotic chromatin and mRNA decay link
e06c8966e57806d20fc9329f16636b2fac2469b8>e4675af68d613dc95ae1c192ed154307a0d3d7be_2,antipausing as a mechanism underlying transcription antitermination
ce0af1f5dc558ccce6483b598b49fd8871349c6d>545b378bc2f2937330d61c184650ea4060071d75_11,Siderastrea siderea coral sampling sites in Florida and Bahamas
8051e6b75f5b7f502d58cc5538df12be23bc68a5>84bf16cdeac28293280054b6b98954e9d5d75222_0,internal nuclear network of chromatin-independent channels
d5b131e3bb256b3732477243b7ce5f16f323ca08>19e753996b16dc7043c3da6dceceec79d73ceb86_0,sodium citrate effect on protein unfolding free energy vs sodium sulfate
d0e6cb69e4988c5e4ac0f6cc3b4267d3d46f6879>04cab23dec0ad77447ff7257801169b998f78b0f_11,basolateral amygdala input driving prefrontal LTP over LTD
a6b0c882d18a9a0aba33790db65d0b1bc7ccb947>bfa78c71253a23e6d80a02543002b5912677e65f_0,virtual character nonverbal behavior effect on stereotype attribution
054671094812ca77af34631db711a585732e3358>87c486cb6cbccf27885e745751c0d18b837d6887_0,first-order lowpass filtering behavior in oscillatory signal transmission
93be00306300885a956165f4654d94b05e5c7959>f249596513f8317b7a8e4bac5d961d2a404620dd_5,Skp1 modification effects on Dictyostelium culmination and cyst formation
e8b28ea410efa058d78aa219498e4b417228cf71>e4ba0683cccd1a5c2c8200b48cf76a5fb96af984_8,royal blue light filtering advantage in ratiometric fluorescence dye experiments
cbc308bee74319c2bf4c2fa3c8efe0db2fe84dc6>f40a16c7d8ea7fd91219e897c75ede2665b617db_8,tornado vortex radial-mode and boundary interaction vibration models
61d4e801e3e2ff3d1156e4637baebf5336082fff>71c15c6feb79258f0858783dbf732f62f2c49d21_6,GC skew index for measuring replication strand bias
4cbd95b0fd8a6a82e3b3eb523ea50de06c9d10aa>1919ac333f4ea98149ea0287f5440e922168a206_0,quadratic dependency measure QR for subspace comparability
cf82d977a64226a15cca9fc0eea7de1e0078ce29>efe167e81022b9fb2b41ea7de996515c26f94838_8,"soil collection, processing and isolation methodology reference"
917237ec23249b823336f1de5910b766ac4d6d19>ab58b90b71f9a6ce1618f6a30a4d6a74cf1e58c0_8,coining of functional tear terminology for rotator cuff tears
c3ed1464884353ecc0c0ad2e3685df2b0fc00474>None_0,kestrel benefit from agricultural supplementary feeding
69b3b6491493622cc292c05ea546906dd96c519b>89d3fa2f391af3d4b8df474a4b1b23c5ff065106_0,equilibrium versus kinetic isotope fractionation classification
