citation_id,citation_topic
b5a25ff9e8bf7275417a6ba9f10a616d58f60697>daacf90f408ed66bd50801e2f88c2d7548bae260_0,superoxide production measured via SOD-sensitive cytochrome c reduction assay
b4ae9e9d7c9223348e6310b3322d8ae5f4c43f9d>c4da9d333b10d753d5d5ac004ffda77bd55b5d02_13,use of student subjects in prior IT end-user technology studies
f3ee10d77b2902a5856ec3854fd946fd75f4316c>3d188c6936ad6dd478e01f2dd34bb2167f43e7d7_4,power-law degree distribution in biological/protein interaction networks
378a66640568862744a88321402aa4ef4474e976>ab2eed17b3da3afaccc69857821d2a3bc063e94a_1,microsphere quantification via dye extraction and absorbance-count linear relationship
d9f3207db0c79a3b154f3875c9760cc6b056904b>2cc6ff899bf17666ad35893524a4d61624555ed7_11,ground squirrel females settling near kin/natal burrows
a7c799ae8f18437be7435f75153629f208d4dc34>22f3b2d06f3853fa007d0fb5d5ab04839bca8e0e_0,gene transcription/translation changes in radiation-induced adaptive response
c1610436dc8142e0b54a17f83bc5c90c85a13055>27acf1ea124a2e727ee60dbe37f983c25c82c1e6_0,hip fracture incidence reported in other regional countries
8dfa37d9118597e766d00ccfd87003d60f6477c5>87d0428d1094e534fcf1f28e40e95311e196db58_3,association between low BMI/obesity and hospitalization risk
71f2841a272ee3841125b442bcb747b9ec7bfc35>9697334e04acba28057c7a6fa044167a29c066fe_6,CBCL DSM-oriented scales vs syndrome scales reliability comparison
21dbf449ff5b39e1dc4b65fb87eaa7e8abc3ae83>b8d851c0cdeb3996ce634a2f75c9f30bd91389cb_3,TMS-induced motor effects on finger tapping and pinch force
7ac67ff0f59585ad3b31d22424c2cef72e20a27d>8d588720ea1b676f8b3906b696e06cf64f5b766b_19,computerized gait-cycle timing measurement system for swing-time variability
67e922ed75b361ddf40b2f1038bc945ef9bf065a>9065e071fad42741328b2dfb1d3e84d906f0b264_0,alpha rhythm strength inversely related to cortical BOLD signal
098b03fa2d4f68c227d8046720bcbe170497618c>8fde490964c88088536693cbe2077a49aa34eca0_0,multiple equilibria in New Keynesian monetary policy delegation models
91e70dd09e2f11ae1fe9d50a158e0897982c59f5>4df6b3366a6941eb537d4990fa82e963205feca2_0,classification of H. pylori CagA EPIYA motif types
