citation_id,citation_topic
745ed8b94bf76fb4c915306512ecb5abc76900dd>43afb2f226d2f5d4bf72c5975a58234ec96074c3_7,ATP1A1 mutants lose pump activity and potassium affinity
0f811605238713a03a80e3b2c7ee0b4209648985>3b27aa570198f8dc86c4a0aaf4befe1bdac3aa3c_0,Matsuda insulin sensitivity index as a measurement tool
b60bd6086848ab2d21bf0589e5d02aa8748a0d82>932e47c83f4466cac2f37e3ad80e13fabd6ca423_0,example-based machine translation (EBMT) system by Joshi et al.
4a0ef771d5f2859e668d3acbc4814bb463a6a308>9b32cabcb6efa967496e7b872a3aed3aa6694ea2_0,prior publications in journals and conferences (self-citation)
ac9e9cfb33511ecf1d0bda4079003144915c7a43>f2322e16332ef187057f7787b8b8f2e91cd9add5_0,fractional anisotropy used to assess white matter microstructure
f00e835858e99dc7ffe5d6c67d03cee7aeeb5f6a>a17e73417623fd5adb648de6c039e26c78f68e4d_2,membrane potential dynamics near threshold independent of input current
2eb4969576aa13487c087bcadfce196a46a96405>f375431b6149f1d5b2013ab305619799bcb4eefc_7,RARb2 gene hypermethylation frequency higher in patients vs controls
2ad71f1dc2d5e515c4950f974d58294544aeccd4>c6b728d9170c68e85a0e23ead1a526ae01102abe_0,RNA isolation and RT-PCR method by Wilkerson et al.
9bcc57110c05a29760bff36b102fe485bac39550>a3408395ddb80fd050cfa4a78540fd340aa1474f_8,MicroPreP software for microarray slide data processing
3d30c5b874d8b8c8b9a2584b406056c1d4205ebb>5dc4f648bf20231fc778755c27f555f97a78ab86_0,PKC-null mice show inhibited ROI production
fbcb483ffb6eddde14dac00e0402f7270575d0e0>0cff7d33d059c6cc7a3a99c45a96ffeba09cd573_1,didactic lecture versus small group discussion teaching methods
b21155c73df137fec31aff33b8e183a21629d137>cf669dc3d74c7610157feb79e7352920fa3a1774_6,Dasgupta and Rivera item randomization and counterbalancing procedure
8d31bb2a92fdecb315ad248b26a863d7b2428cd5>b0db1c065ee08927ed66bc142c854e6d37bbbd7e_3,DSM-IV-TR criteria for binge eating disorder diagnosis
6e8979e5d809a1a475aa3c8d1155aef92b4b6529>5d5773ee2c824c4219d392faafbfafda88ef6db3_8,open field test as aversive novel environment for mouse emotionality
b2281224afb3a90f31fdbd980e43f3abd5789d28>cd250aac6cf8a2e8808e0f687627690f81aa4c29_1,corticostriatal functional connectivity linked to executive performance in disease
6bfdecd40f7923f04bbade11340e2d2a264965ae>21009f10717c1edb3844c0d08f1100d1402dd815_3,H4K16ac/NoRC-mediated chromatin silencing of rRNA genes
682206d053d817b47f6786767f65d180bc074453>90577a932954ceb6fdde21170036eb606f8e27a3_4,residual tensile stress agreement with prior experimental measurements
638fafc27d5b0d7c5cd719bd3ba51bec9db4bb5c>35c1ae44da7ca399aaeb11e6c80fc371f8c8aa92_0,Cox proportional hazards model for survival analysis
f9b16a66516145a285e3df02b5e0aeb92e7a7bfd>7ec112e4ee5cdd50fabe7607581c0b49c5cc2306_1,fungal pathogen complex causing plant disease and human keratitis
9074ac8cdd1b508a50c183d23d723e6cd64ea710>0af961b879b732ddc3dfd7b3ed49705d902c933c_1,"PASCAL VOC 2012, CamVid, GATECH datasets for experiments"
4dce430c34595c89fc878bd0c47f64f4ef2feb47>b04f0343c6feff16f8d846c2ca840f5416c2d7fc_6,GABAB(1a)/(1b) subunit expression and heterodimerization with GABAB(2)
3c4a2b65c761325bf8c9421213e27f98abe1d0b4>5a3fbb958139e1cc502a6b483723772e14c6d215_4,bZIP transcription factors HY5/HYH mediating UV-B induced genes
eff38d1880cf62015fb610a69d5ecb345c5049e0>bfb50e3b51876c3ff6d94bf922dd02d996b7abfc_0,RAGE receptor as multi-ligand immunoglobulin superfamily member
21c44db71f8965dd970ffa23bcda403fdb306aba>7fa4f05dd489b6dd03065069f660c89328337e18_2,symbolic summation algorithms minimizing nesting depth of sums
78abc60ce5f366fd4a9b2e3f5c380cdda3b94001>279dd34bd081585ab9fe9763357b51ce68f6f4ca_7,ICT policy indices and rural context in developing countries
69116757e90b4cac5af3793c7e29e93cfd7eac55>68705f4785910ee33f7dca77b0ab256406826f98_1,postpartum depression screening tool validity across studies
7a127168d23c4bf7ab4ad34afcf70dd90266e426>970c6cacc40e46aadec1dc0b4270b01f9d915359_0,GAMS and MIES as competing mixed-integer optimization algorithms
9250afb16c587eec8fbf4fec24dd62e5b51e01a7>54284e34d86c55bfeb2dcaa965a67938d1326700_0,vortioxetine 5 mg/day antidepressant efficacy meta-analysis
5aafe3fef057445ec380447db6c43606a98b0ac0>7b6ffcf57ecd43c6741bde3c8f6d58d7bb541343_5,nitrogen regulation of glnN/nblA promoters in cyanobacteria
b7eccbd32852d7aa342c820df745b5cd6cbc00c7>1efb6d4b033492ec257f9b1c600915a09a368613_5,Higgs boson production with bottom quarks and single-top
551b8921a714f3c5a164d263cc9ec25e79055981>924c5e3ac9a2e2c76fbfa2b6ecd44d1f2f629525_0,bond graphs as domain-independent physical systems modeling notation
4860042c5abe0c2a22d799fe3c5d38cd100c2286>b1a6951b58fb883073e2c7523dc2c16ab3f8630f_0,halogen substitution effect on insecticidal activity via metabolic stability
8b3073fa49bf5f939e8ed380420711a0e12baecd>2d7293944d88bfbbe2533fb8845d97c0f82f41de_0,ischemic striatum/cortex neurological impairment after MCAo in rats
6d3d32ab8ddb6f18fb1c8efb3e071bbd4da18abf>a9f2cd72c3879fd5c65533bb88c4f0ca15e33750_2,"acquired risk factors (immobilization, surgery, trauma) for VTE"
40b78e4ed49cb51c99bc0cb7fc7196a9ba966f9c>6b2c9d307ee618f5efd8691f44fae85c7d079351_0,CNN acoustic model and RNN language model for speech recognition
3d2b783107c45ad6b201ef09e549f161e5c2bbbb>fdc650b26cc9d9ae43b57a8fe65a1213cdb14e8c_1,catecholamine decline after tyrosine hydroxylase blockade
326861d2fcb678c73ebdb8e065998cbab5f9f6e9>a81fc7d0035f1f651b8454f05274ebeee6dc6acc_1,mitochondrial dysfunction and oxidative stress in cardiac myocytes
beef379e2c87cebff7d96c80a3ab1f8d0f2ea4f2>146bb2ea1fbdd86f81cd0dae7d3fd63decac9f5c_1,fuzzy predictor free-parameter search and optimization
353b4ed33b66a5adafd7f3bec53d7e4ab7dfe284>8ec4ee918969ef61a6efff5054b1e63fb2bd1593_0,Bcl-2 expression unaffected by thiotepa treatment
18a7a2de54d998b524dc79e3b673f33d84fa257a>f319dfeca262df1919f211f0c1b5c99479cd4e5e_1,5-HT1A receptor-mediated inhibition of serotonergic cell firing
812088389dcd514b807e13e212037b2b244c2de5>f6f1006ee10156850b2c4f373d2c56a0210ea3fa_0,cystatin C as renal function marker during cardiopulmonary bypass
93be00306300885a956165f4654d94b05e5c7959>f249596513f8317b7a8e4bac5d961d2a404620dd_0,loose-to-tight aggregate transition delay at air-water interface
b603e41fe01e780dc3320ff0245005e193afe17e>fa7c45877a011892020fb5362cef514266ec8802_1,PX-FERM protein interactions with NPxY/PDZ cargo at endosome
c81deba46633ffe554a3193fc39fabcbfcfa1b0c>ab09ef3a1d7bdbb5bec3c124093f209ddb0e8955_1,reproductive tract length and sperm competition in females
4d118b0e6e6673265c49061dee73560299c88174>3ca011a2c10e444212448e295ee59a656012f193_0,cannabinoid receptor binding levels and GTP-binding protein activation
b4cc2bc53a4c5f3b7851b90c1eaa04cd40c4896d>19975d8b06a8152c61840cbe044aca9e271cfea1_0,p16 overexpression linked to tumor progression in ovarian/breast cancer
de68e00914c4f26923915b114bc6e4235ea4624c>111467672297cee5e3ae0d624c6ead7ab9b02013_0,kinases acting as scaffold proteins
9462acef826a6b495fe8fb281660ee4418bb840e>21aaceb3fc27e8cc831e25191d967daa0d8962bf_8,AD-alike impairment pattern and conversion risk in aMCI
fbea85be172e21855cee46d6209bae3f95941ff3>17f2bd869df15476815b6d6a98d9a3184ea6c714_5,coherent risk measure pricing framework (Artzner et al.)
0435f121f1278cfd4ef6f8a6db9f44fb56ec2a27>59e6206c40706cb4cb7ef654ec4051904e96a225_0,cloning of Cytb6f complex into yeast two-hybrid AD vector
feeb6b781edf0d76511d18acd86c357c8ac63a73>bec548c4a0dd9b395de42917787c44fbeed63571_0,FEV1 level and lung cancer mortality risk
405e2a5d3bb5c430c4d0cbd020d8bebe8c1364ba>855f0edac470b58ab2dc7ecb8e873c970f273a23_3,perR-regulon gene fur expression relative to katA/mrgA/ahpC
34ddc7d89ac3a54175626686db4ac35dc4df3902>c27919c427f2962a9f8f50b2515414aa2a23fe54_0,income level associated with self-rated health in Japan
96d59f09d602d930beddbc2785972d443efa4d93>723a4b4f3019cd5a5f8546925d8cf4478a0d03b7_2,social support and coping strategies linked to depression in gay men
0ab03e9a01130305934265780f883a2edc0ca792>f10b9fa71de2ce784c6f6f13d6e10d4b65f8d23d_4,single-channel microscopic currents unresolvable by electrophysiology
4135fa67867511f248fd7757bd3927cbb4aad56e>29f5b221199256ee2790919b77ad5534732d1478_0,SSFR test for parameter identification of electrical machine axes
a5e391fa5f591366b21b0e10d70a36ceb2588f8b>1ea3cb9e22a969a6bd0e7c8cd75fe6f0164b8ccc_0,treatment study eligibility assessment procedure
9da2ef62e79da29675cbb63b40178f707a696fc2>8ef8d354d917fd898d6bcaf6cdc3dfbbfb27f0d0_0,"treatments for radiation necrosis (anticoagulants, vitamin E, surgery)"
efb33941a4e82e81b10f6a380bb57a935b6db64f>09f432307e5d55b814c9d4ad7a1264f3197fb107_2,term frequency distribution of words in web pages
82fe79e6afcbd138440ff430f3d421ca57cd1c75>700a5a6629197ed7d4ed6f72d37c3a185303b1e7_3,hemoglobin concentration/saturation reference values in brain measurements
9d1c38923868aad077de91a389a27f72d592d329>badee7f8b87dbf9d38775bebaad489d664fe0ef3_7,MSN electrophysiological properties consistent with prior mouse studies
09e2dda605728b604d0eecd254c00119ff0a2140>c4dadcc767979eea395074469143b23f161de3df_0,telomerase loss causing genome instability in yeast strains
d32ce29a7a07aba475edb01fd2002de862e7bbb7>ea3c9fd92b978cf74db8b1a00a19a70abd4872a9_0,gender-moderated effects of interventions on energy balance-related behaviors
6dc81a69befe66d306f855eade48ed93a9fc2b28>f0c372551ab2c123b665bfe9b2998788859b51e9_3,HM-200 resonance tool for stress-wave velocity measurement in logs
b9667aca4641484429a940a9a7a277712f1defb8>3057b920c42427ace480022b4a96dabfdfc84d21_0,"nurse staffing measures (FTEs, HPPD, skill mix, ratios)"
4fa6bc9e73e52f4e7a4f165b2f4799eb05c31aa2>fc6f38bd4724635723ffe8518f2be1a8f3085ea5_2,whole exome sequencing and aCGH screening of candidate genes
06612e356cc9099700d6d98bc03b393f9c30c19e>62dac3a04b18633a855d54eead9f1dca34a5878d_0,occlusal arrangement and interproximal contact in dental outcomes
a7ecbb4b04344102d5b60b3a02fcdab476510a1d>7ea83ac623c5c7f5f7b38b3ca5d243b74fdef823_2,sample preparation methods for elemental analysis of wine
4045da288ce8a8347b230c850cef76848927050e>82a59dd54a424010b9dfa9de28548fdb61fd1edd_8,rab7 recombinant protein overexpression without ATc induction
c2233109fea4c9df13cb37ffeb648ce63d7f87e8>5eb8bc779dfffbbbd2e38123e00897c705e9a2a1_0,2 Gy red marrow dose limit in radioiodine thyroid treatment
a987290394cf4476ea4f55f3f7bb427ff5cebf34>0c610357d8682ecc3239863bf0ccf9c8d9090381_10,heavy metal levels in leafy green vegetables across countries
df63fdb20669a8b7d3ba7dafebf75b9a94d7ba46>4390f4a06a036b8f04cbb4fe7611fa5af9492797_0,memory bank conflicts causing request latency delay
cf0174fcb83c9c65b6e736b2c10ee615dc8f8993>a3ad3b4609bb8bf85c8c2115cb76d0e5cd16df12_1,SCN9A polymorphism in the NaV1.7 sodium channel gene
db331d97173d6fc535e4ab19b702dabd3f0020cd>b80f8d232dca88879acbeca67e624429a653612d_0,"CHW survey instruments (CHAS 1998, AzPRC 2007)"
1cf1f90c1a60359c4ea35dbcfffd6e48b4488bf6>20ac38ad028d3ca8ec92ebcb845a9799ef55b7df_0,floral resource management and pollination services for wild bees
9c9f73003a613a0dee6200f126ff6edce0698087>1c5920abffd5b81e806791fee2aa00a8c49dacf5_4,corrector compounds promoting mutant CFTR protein maturation
849c3f1c3b687ccca747a4f5c4eeb72fce490ddb>7cf269c7a1086fec53f4ace95010a6b6e4106616_5,candidate genes/QTLs for pepper fruit trait (PaKCS6)
34c5d8339df53b2d11323b6370db41eb06c6b961>3f99454c988998d05a6045ba70a9812c034304a4_0,dopamine's role in reward-related behavior with drugs and food
354048927e7f884092cfbf233e5316f87e9566d1>bbf10259c77b8124715d50c73dac46756fed745f_0,depression severity score classification and cutoff for major depression
37fca3729cff1f00bc9805d0e34d967dc41ddf46>91a1531532e1b1657a7701c8c7a0d4b89f0b8b7d_0,GATA4 transcription factor regulating ANP and hypertrophy genes
bbdbf9acde4eb6c3aafa5479addf9c4d8e650d7f>9c5a16e5413a7de8ea665f46250eb669534477ca_1,"cervical cancer cell lines (HeLa, SiHa, CaSki, C33-I) culture conditions"
2c2cb5948eee21c0494dfc787e1f4f540318655b>32f848429a90a193b8e5cc6eb51bda2bc03caa7e_2,NOAA CPC FEWS rainfall estimate dataset source
9603345c16128556c07411ba3fb7670ca7a16bbb>59740a2116bbecc511c30b3b1a23b6c33d7a5108_2,HapMap SNP data combined with RNA-seq for CEU/YRI populations
37d28aa1bcce05abe445a9521d11d59a20d3f06a>cc9a03363b08d46e9ee168ad779c44aabb4fc81b_0,BMI1 contribution to chemoresistance in osteosarcoma cell lines
