citation_id,citation_topic
2bc41c1556884d73206abcb0f0c3812e4bef205b>d91ae7f9c252cc67980a19231970ee249fcbd92e_1,electric utility subsidy removal effects on firm investment timing
f0b38df72df2f93525019be509f5a5de63ea0163>1b7d2b02a690f8c5d28c2ddab280584efdd8aaca_0,prior EEG/electrophysiology experimental protocols reused for study
2417526934446d81023af49f27bb7f52044bcb78>73f36294b5992a53e4f075e384fe30a13c629bb4_10,chicken 5'-RACE noncoding exon compared to mammalian transcripts
f1516affaec39fe1a54e3a988094d4ebbecdde9e>1e522816471854cfc37dfb925439b49019c5b2e9_0,prior speech-based Parkinson's disease detection studies
10cdfbd7f5b50500d18d1ff92d027af5e67deafa>53c7f12c2419ecbcdf88c4361d04d73fbd584161_0,miR-RACE method for validating microRNA sequence ends
08b29538d2e03ec786e724eefaccb2745eb5cfeb>6bfab9fe422d9c2624e59f4c8e0f4fff9c14580e_5,Signal to Noise Ratio used to evaluate method performance
f4182ee279098809a89664971e562ae7ea604fb6>f338f085f1c7ee9af80766cdd902cdab177ec551_0,interaction as defining feature of focus group methodology
d5f3c9bb1502208628c4c6d138dba28143f44cef>d393c0436e06d6d7879f64dc3c9475c312ba7e4e_1,Western immunoblotting protocol for Ca2+-ATPase and calsequestrin
e11f6bca24cde94fed473dc3bba93151f9c53d3e>914e874e2b86180987f362622373f10f0645c5de_0,enzymatic isolation of atrial myocytes methodology
6ccf65984ba7c57d0370f31c403f1c1006d0f481>29e7e741526ffd08bd133b2a0edde28691290fed_0,strategies to avoid generator growth in GKO algorithm
befa22243e494c9bbdfdbbbbb1b204ec057717b6>850e02eafebc948e105a365b996f51434ea4f3b3_0,indoxyl sulfate induction of NOX4 NADPH oxidase in vascular cells
32ee53006ea4902230b9436f36197177208fbb94>c30e52fd90cd870ba9ee6da7daf99d7b2484d292_7,oxygen role in benzyl alcohol oxidative dehydrogenation mechanism
ccbdec9e648381e470efe027291f3fcffae06f8a>47ee62088bb39c11c09130110ffcf5f3bd436764_0,TLR4 role in innate immune signaling and cytokine production
010b97bcf03aea28839272114b993ba33b2e3887>237cb00bfacce756598ebc67d2268ae5941d5c0b_0,"comparative staining performance of BBG, ICG and trypan blue dyes"
1defd1c581f7a8141287cf266de23d1abb7ac241>30a423a54c8b36ffdc9e023e6405a918c2c8f028_0,consistency with prior findings on the same experimental result
a39a8d1c05371b88a902d6c519784b300461a8ef>4aa822d0015b48da6fb2c4d88b343babbf16af9b_3,HIPER model of hippocampal encoding/retrieval lateralization
7334696d7aa6dbce3f52eec4359687dc45e05378>3bc08ab2fa3ca52263eacfe482180075546f7e49_0,Orlikowski's ethnography of organizational improvisation with technology
271adbb419c95de9b4634a630082299b1a40ecc9>979f71be62cb9612690e46494dd65a6ce8db05e2_0,complication rates of surgical vs percutaneous spinal treatment
b665edfbbe8ea4cbf3ea4d2143b3a82a4793c8d7>d11b17f2ccc53570feb069c0cfd8a0ff09af0329_1,p22PHOX 242T allele association with NADPH oxidase activity
285c2db75caa99e1265fe40b7fa5d37817a63094>d13f674ba3e4bac42a2753d9804d929eefb27b9c_0,critique of regression analysis of ocular perfusion pressure surrogates in glaucoma
f4074e060714796f02e473673fee38a3566c3fbe>58e96edfdf184dfd8e1cf6eef1d60b9ff3ac3a39_4,BDM effect on cardiac NAD(P)H response to ADP
a30aaa79f8962b2079e5dc4aadaa4c1ef521acbf>8935ce60ac3725b3cf87ffb85d4e0cca74bc02f1_0,prior outcome measures used in knee osteoarthritis studies
551c30c8c3ffd11bb00ffef7d89fa3bec52a1102>f25f4beb189c66b5d0e805ab5a667765137f1787_0,muscle fatigue effects on spinal stability under load
5c44f8e52617fb5f84a38643587267c93f788b5d>a44c1abcd187a5cdac13e8b20c1727f47efb2777_1,hippocampal diffusivity increase with disease severity in prior studies
600af96561d42d4e8226dd5c1e969674e5d6c8ad>4fac7a4dfa6719b19f1b40de788a2524bead3775_0,differences from prior studies on minerals and inflammatory markers in MS
cea7f99b2b776265fcd37acda7acb3c0fd606ae2>07011d81f4d3d5dd244afa15bb0b5476ddccd582_0,iNOS/NOS3 upregulation driving angiogenesis
14f95348c0fea954d6d635e1129ac98188a0051c>53b95ba72cc497dcb6c23c6773e02b7d3bcfd01c_1,TP53 downregulation linked to DNA oxidation and mutation rate
a8d2e3ce19ad380b01ced9b4e59df6ac172d6043>970bc60f742d6441fcbdcea43f5d41590f24b3b5_0,anxiety-depression comorbidity in Parkinson's disease patients
