citation_id,citation_topic
a55f17fbdeb6adf8c1e818f16e6577a42f0060d6>0be119ce0687e7a6281b7bd7e6ed9161d127903f_0,off-target Cas9 nicks rarely causing indels
4c4cec0348194e92563e3c7f090cdf998535ce3e>fff5133d387e6c1b32292c955a997d376f05dccf_0,Arksey and O'Malley scoping review methodology framework
81c21152640fbccbf9dc3f962157e696c40bdc4f>95b234bf4708dc8b1d5643645d76a48af800cfad_0,"needle biopsy complications: seeding, rupture, infection"
01a554b159b4b988fab2a9834ba80239d641f8cb>81c27abf9224eb014ef95cac6cd583de3d6ac202_2,3D cell culture as bridge to in vivo studies
45fde553db0f7b5a5fba10a15a5dfb385eace14c>8c84e2c3a32b2e19060f69986c66aa0112b8cdd9_6,meningitis and abscess leading to pump removal
d3cc99e273801ea46d173cc49fec41f606c45ec3>5eb8e3f142baf35cbbf5892b7d6336f7e5914898_7,ouabain's anti-inflammatory effect in peritonitis
dd8d095f7e8e1baa87140a82ef14c0f7a6e295af>31a04960aea90f6f8897a8b84dcb446e99f969f1_1,hCAF1 regulation of PRMT1 methyltransferase
1c6b446bc13a454686b6c3872a78fa9c0760677b>815bd94807ff43a3f3a4f361e5b21e3f7a63556d_3,coordinated competition model (Xu 1998a) formulation
0e4bf03c0e7a18078edc742edf2f356c8b29aace>ddd33219d28357cc57f461c1ff4eed4b99e29416_0,number of RCTs and observational studies included
c0c8d34a0fee5ff52aea3f718068fec651a82771>565c1f4c4b738f3d58f4c7cd2420b203320dabe8_0,panobinostat impairs dendritic cell viability/function
679eba4c17861a696d98990eb47cc858c608f8b6>e468a076d412ec523fe3ad088643b1352d42b2bf_0,prior study's INDO drug concentration data
425af424a1f897af5939fd3b5b881289ea5dbfc9>ddfd6f08e4cc3d49ef22e7921a20ad5e6da80998_0,personality traits in lithium-treated bipolar patients
1e4e6e3a0d00d631058ad1c7a0403387fd9c3184>0faaa79219cbed84b54ac9e774cd10bd351dc0c6_5,Ptch1 loss cooperating with MYCN in Shh-driven tumors
e4d807182629129dee221081b270d9c47b2f7716>99b74d2f52bda6e4f739c0a37c97518299b4dde0_2,Parkinson patients' closed-loop movement control
10622c8e9d456fd1ed25b42acfdc38bd7cefdf16>f9347c6abbfdb7bc9b86b3162eb8917448588951_9,hypertension/CVD risk disparities across ethnic groups
