citation_id,citation_topic
d79a9cc876798786762088cdacd3978d9beb24d9>12a23d19543e73b5808b35f1ff2d00faba633bb6_4,flipped classroom approach optimizing classroom time and shared responsibility
5c691d1e253c982ebe4ecc60cffd26d1898fe832>2783be70248851324dd8a75aeba3f96bc90646d1_0,albuminuria linked to CVD incidence and mortality in diabetes
b25d7a9c8a56ec75dde1b688c495fe47538cdc22>a3203628724d525bf4ff619488b25918443af4d6_0,single versus multiplex immunization strategy effectiveness comparison
7c744351f8bc47582ac8c1abe5630b93df310b70>d834639d01f2b2aa7ddf71576d732ec09e1c226e_0,dystroglycan requirement for CCK-basket cell synapse formation
72284c1d173315dc376ae8faec4ac73e2b0804d6>e111ad86e9371fe5b397b9f9f142f9d002847796_0,abscess culture microbiology results generalizability across studies
25a58b728ebeee5bc33d753bccb89617af1cd6d6>5b97f710fe7b89887740e292d1c5e2b9f1d65b1f_13,adversarial training initialization for unsupervised word embedding alignment
bca48e91e89f7d7af1f58a34681c498d176ba2b4>0d6e0506da3972e5bfdf1b86dffb09082ec40dd6_2,intravenous lipid emulsion treatment of lipid-soluble drug toxicity
6a97855c529f5bbcc57883ba6ae7686fa383d54e>14d7c8b93d9dd2c25c50eee83423d1f8d9e037c3_3,Akt2 and Notch1 signaling pathways in M1 macrophage polarization
b29880bbe4f678196bd0dd9cc699be418f7d0acd>9aa271b396174031758c2f513ade2b5af8675aea_0,validated diagnostic criteria for bipolar disorder not otherwise specified
539e6ffb3a4d43834477e8f48ac453b6feb88356>36ea4112c27f0c8fc97c80fceb742cea7200d7dc_0,AreaAna software for digital leaf area image analysis
309efd30420ea7a1f90aa1dea4210268cf574ddf>4f33ea536ef4891a1eec60a4b332610384bf5efb_3,sliding-window BCJR MAP algorithm for sequence detection
5f58f43238da74472c9f89298776b38fd9061a05>ab547be1e1d81d912371cf8fd3b78ac6c2feea3a_1,biofilm architecture on Spanish-style green olive skin surface
067fe8920f59e75701087f2e4c24e857cdcb12ef>e30fdcf5efdd5b8c2f1f41793e6dc22b31385144_0,WFU PickAtlas toolbox for Brodmann area ROI definition
b22d3e6f31d0c259c3294314fc7b07445dc0ad81>63330548ef153f8c3df829458502d4cf210683ec_1,maturity of camera sensor fingerprint identification research
3b8e3390c691b4fc11791285f2ea56badc18f335>a15993726985394c3793ac99aea90a02c40f2653_0,"deep learning applications in translation, connectomics, QA, and NLU"
fe677d2f86d623b3dfc92f060bd8d0d2a0ea413d>548992f59f682a83a671e7f288f7aa574580d4a5_12,1H NMR quantification of phenolic and aliphatic hydroxyl groups in lignin
539869e9bacaccdd362703724c7b807d7a1f9cd4>6c6df10e79bb02be3fa2aaf4c4bcc13ae7a8881e_4,PLSA topic model and neural network architecture for text retrieval
e1f4d070204076b4871af42ba1b5bc141dc5c1f7>2040e4e6863873e905f9b0c68b59d8b86129311a_1,non-photosynthetic Chlamydomonas atpB deletion mutant strain CC-373
dabf623cf535032bfe3121f8fbe8e1ff904d1175>3bc8eb2fb10c680460d4dc20df2fb18102e6059a_2,apelin-induced AMPK activation in skeletal muscle
631a4b5ce1bbc46db44db315203dadea4dd4e65d>b50dc11e63844606ee5a56c10a97bf89dc457201_1,bioimpedance analysis for estimating trunk skeletal muscle volume
4db22ff85d22bcd5b044b14bf3c5f0a069eee56d>9c1dffe8295de7f4eeaa7d5c05cda86c94764652_0,IKK complex and PKC activation downstream of TNF receptor signaling
5e845572bb94e0bfcfaed1e7db97316fd9b74dfc>71d7a5110d0bdacec57e7dd2ece7bc13f84614e6_0,BLAT algorithm for mapping gene sequences onto the genome
514a1cd1da8efb6e0cefba35ecc149cf12bcd0ae>1a47a322d0a4c756c713913bc0b37d8eb9e38349_4,biodegradation observations for toluene removal in bioreactors
624e14c2ded59ebda637450d43ec96d5cfd6ae46>9607a25998b6447b5a50bcfdf856f5f6e37f9fd4_0,components of enhanced recovery after surgery (ERAS) protocols
b16d3ef0c6070ea8d3290d4aac3f31e800319adc>96638a686daf6399853029bfbefd1a525170cdd2_0,cellophane-lined glass method for recovering snail egg masses
4c84194c463bdc149a36dd08b77715dbe559b431>6587f8de1a8087cc6de8e9981a843833ea944431_3,"exercise training effects on inflammation, glycemic control, and body composition"
f6887b554f7b916f3428447783840baeef6b863a>d2bbc8195ace1f801cd60368a30c2d8ff28941d0_5,glutathione S-transferase roles in pesticide resistance and cancer susceptibility
72d74312803531e5fc40ab60a5a39a34dc47c62f>5acd2a40f72024f9e0ee899e78639a924f816128_0,biomarker blood levels correlating with organ injury severity and outcome
ee7bec05e2214d33e94126eb8424f02ae90f483a>158754e95866fa2d40efd2421e36fd1e678cc82e_0,potential bias from coded comorbidity classification data
300df68391d29db116971e63c170f088e2628229>8c1918c30664a115d328167709bab92ac399a2dc_0,laparoscopic techniques for treating ovarian endometriomas
1c6b446bc13a454686b6c3872a78fa9c0760677b>815bd94807ff43a3f3a4f361e5b21e3f7a63556d_6,alternative mixture-of-experts model for y-to-x regression mapping
f54ae0bb60ba6cfccda4744e2e3064787ca40323>None_0,monarch butterfly vulnerability to disturbance on wintering grounds
16907525878b3d12c3d31ae3b099240a38ce4780>947dbccc7157e5215c0c443b2582f42c1a34ab06_1,Sepsis-3 consensus definition using SOFA score criteria
318ff0c00e6899a66ee4a4d969e0d72500e16a3e>41129a35ce2f54686e6a9c697a4ab9d6b0312150_1,two-photon laser scanning microscopy for imaging neuronal activity
560c67b8d5c6e4b2809fbbd308d373366241ea86>b0fe8d2727db77f58bc430fef29aba3308ecd3f2_6,lysine propionylation post-translational modification in Thermus thermophilus
8590ada6c6dbcc49f34233cd2d667a92d6814d49>14972b8536220a436eb34356da1ce5d66d842443_13,BLASTX search against marine single-cell genome peptide database
7ad0af58892ab0248c046627d2e343882c5abf39>93504374d942ba75b7ebb8a5087c6cf9ee0ff6e6_4,ground squirrel population extirpation from boreal forest habitat
