citation_id,citation_topic
d437f4dd0bbf112bdf0387161b976b4c1a910eeb>048b5064f6b0594f2e0c3239076f2ae07b5ab790_1,hERG channel inhibition and drug-induced trafficking disruption reducing IKr
e331fa1f6c62f4b6bb47f15c77c19f752a03eb0a>510ee3954bbebad58110c1d1376cafc70581ec0d_12,HD-Zip I genes (Hahb-4) linked to osmoprotection and drought tolerance
268f9c5c5f980d9e97420454f1c57cdebb0ab0af>07a249b5f48113f232162e2b0e7baccc53e4511b_0,RiMOM and iliads ontology alignment systems for classes and entities
01c462314f33ffa0e235a33b02b143a09d6ea58b>a0925f5db92a983cdbdf61133ba2c62447906705_1,microRNAs that also repress translation of target mRNAs
8e8ebc082592e5f8a730aa8be1fc277304a4904d>306162a897125aff076a682d474579337c6b14a7_0,variability of muscle hypertrophy across components of a muscle group
2981321af08b96875a6b54a7ad4fbef4fbbc1b40>0baccf1d4ad8627b335d175df8eab1874ffba993_2,morphine-induced inhibition of nociceptive biting/scratching/licking behavior
40a95ab9ce6ee25c2b37cebe0c62df81011ad0e8>67bc66d6100a0bda2bea19e7eead66513345b58b_2,Stern polynomials special-case reduction and related polynomial studies
4c700869e4ab2020d15d2ebec2ee0776fce3410a>6ebd21b7abe728491a59e19a177f5b539bfed7e2_7,dynamic evolutionary algorithms benchmarked on the moving peaks problem
3479e381f8149a9a6b12285a8e9c16d5a991cdbb>da49bf02f3c85064c7392eccb36971b63d0bf378_0,Timeline Follow-Back method for self-reported cannabis use frequency
4c9ae805e6a1294c144d5f186d81addfebfe43b9>cf861c9fe39191fd0edaa6badd04c2aa63687751_1,climate change effects on atmospheric circulation and precipitation
0c2bc1edcb4bc77bf8035fc21b98ccf1b6c836aa>6fdc64b1fe75f2376b4054fe9134b40be48216e9_0,zebrafish smarca4a mutant (yng) line derived from the AB strain
5979691e17b871c39fb4a3774ac1df73a4b2f6e1>395710d124a3150c8b62ba3070c9ee1b3d182310_0,klotho gene deletion causing lean phenotype and obesity resistance
f35712fff811ab7593aee09189430f3ab315884d>40c5651a9593cf0c2d0ff89b52cc47fcf1879ebe_0,vacuum infiltration technique for extracting leaf apoplastic solution
821dd6d09755084106a8aec827ef700aa9092b7d>4e6a367b96e123e60081ab5a26fab87a3d5b4e9a_0,ferritin regulation of free iron and hydroxyl radical production
c4be615a53b2d1b6484f6b7888c7bcf822ab5066>80d9ec6d56799e96bf5e3e99ff0f904892820308_0,fern gametophyte mycorrhizal specificity toward Glomus group A fungi
1b95b159786c4d543bacc2ee19e55ad5fe59cf14>20a603c12afe97b667708cea749722cf4722f3ff_1,Kronecker correlation structure for decomposing a MIMO channel matrix
5f9e27fd212e0eac30dd8b2e9a53d422f5ca0bd4>9e4ab179a114ed860aebd5ee4699406aa7088069_1,exclusion of water and O2-dimer spectra from DOAS NO2 fitting
ac679d785add4080857f2ed90402b6f44308c3b5>630e2c2cd4a5d49e4e257145747009516c8f92af_0,DCFH-DA fluorescent staining assay for measuring ROS levels
02df94492acd8cff2ab79b0282e3bc62099d9556>57711fccc6809a758b6adf9acc9159865a4e6eee_0,hormone receptor signaling coordinating mammary gland development
b8ad040357eaae50c8efbe3cc8ae9d93b800db2d>e18666bf07e60f7414838aed88c0d35510bce67c_0,literacy as key factor in contraceptive knowledge and birth spacing
5708d5b67eb1195037edc35cffb64167f9d34882>f5c4257f1a457e45c46dff1df60d020544a9a1aa_0,TRIzol reagent protocol for RNA extraction from fungal mycelium
dc1deee713031dad7a5bb56e7361c77ddf076bf3>a29356d8937b8fe6e619c62c83bc51692c069dac_1,NMDA and AMPA receptors as downstream signaling substrates
9983cb9a683f30df0452003cf3068895e4961996>2ad0ee93d029e790ebb50574f403a09854b65b7e_3,subspace method for modeling illumination variation in images
021e4de927f22bad05138f7f4b4036825b123291>8c4909c3454d6e096b6270754850390e5399cc00_2,radiolabeled urea-analog pulse technique for carrier-mediated transport
17d57b6523f9ba808767c5ea055df741add8db15>9b7d3cee2c9379610a564ac563f3795b11805f01_0,hierarchical spatiotemporal model for estimating exposure concentrations
0ea286379719caa7760d34b65bc870c41344075d>92732a39e6d8e88d0a6d6cbd0138df270324e9ed_1,insect central complex role in sensory/motor coordination and memory
9c62717e260d79367e7b1f1e0cb708db15c1b86a>70940635fcbb658a70c585f3a210c5c0bbb759ce_0,personalized search/social media reducing exposure to challenging views
a2c3de455c882a92868b7b6e7e5c7b303551dd3a>42f4cef937ab22acef516f0e5f5779397df91074_0,HDR cardiovascular response independent of neck afferents and baroreflex
faa8e32647700efd93da4b510bae58b7c796ef74>39c2d507537e7984c0460bc0ec15ee06a4f79766_0,discriminative training of HVS model using parse error measure
71dac16832f967772481ccf241fab4afbdc006c7>5637b36d92ca7731ba8b62bac07b8571e97e0ece_3,organic nitrogen sources supplying vitamins/minerals for bacterial growth
741bbb18227446387547dc46b0839dfea108a2a9>574d73d4e765a1ab2a122f4aaded3b20ffc67079_0,enzymatic mutase producing exclusively the (R)-enantiomer product
901077d4ad9080b04cc178eea5c459a75ca79bdd>4e3427bd6cc0dd0290be6c146b46bda6ad05403f_8,deparaffinization protocol for tissue sections using an established method
4445cba251a0c983b76acb84d3c48ca8713c65b9>b83fc70119b548fbd5ad03093eb3add669c8716a_3,adapting a hESC line to trypsin-passaging on feeders and Matrigel
5227ec6b6b9e6630d3eec53e8784b1d43b97febf>61ba484c3fd142d5ddf606eae1a549fe29594208_8,rapid spike-rate decay in afferent-triggered phase 1 burst discharge
c6863ff0da3bd58d7e45affd45fb82d4a038a519>5515ad9ae88f9894f9bdceea0f61d7f4be3da0e2_5,"maternal diabetes altering neurogenesis genes, causing neural tube defects"
98038a931dc0e66bbd558f48b38f7d354b0aa4f1>e16a1914e85587dd695b3fd4632ee4e20915ace9_0,questionnaire reliability compared favorably with clinical outcome scores
f2c5d3b64387a6c40f72edbf969382985d9e8c3e>e535c467941c744b9f4023cd5cd31270eb26ebfc_0,Farquhar photosynthesis model parameters and leaf venation traits
6215424a8377e0b1e9ea183a109a303f040170ca>ec38bc7e3898284e54ed2685b53a3b8305445a1e_1,velocity storage model for estimating aVOR time constant
6daf2da27c48f8c3994f827b3caddd973ec313fd>66dc218bffc1d828baaaf7a048f837899b5fbefe_9,JVM class loading mechanism limiting a software architecture
b148bdc8839ca0ffa2dba2d4763830d4da9b39ee>bdd7686f978c075e0229bf5f5ade976636cd06ed_4,LOOCV model-building process including gene selection step
917c200cffdbe74ef54a8a0115934a136071bf07>05aba481e8a221df5d8775a3bb749001e7f2525e_0,mini-batch Adagrad optimizer with tuned embedding size and learning rate
