citation_id,citation_topic
5f7d5544d71f448f339eb08853a19b4c7858d3d2>f618979a9717b173097564380755f0836495367b_1,"earthworm activity altering heavy-metal speciation, mobility, bioavailability"
0599e2ebb2aaf572a04b7ffb63146dd0e942fbf6>f2aa3b10e03add721416318b5e4ce7f5896d5dc4_5,brain imaging and electrophysiology studies of contour integration
67fd3bb71d0f1a06e61fa0ba6615b0397867fbc3>85b04d25eac459fab2870ae995d01b09a6d65e1e_5,"Indus, Brahmaputra, Ganges rivers predating Himalayan uplift"
0489b3d9867ee5d4e3a9b3d20608b78fda29cf96>4ba7f27c95513505c02c84181ef618970eb0ea0b_0,HLA haplotype-associated differences in serum-derived soluble MHC
43959055c7ab249608e2e0f58ad9be939d82a2b9>9bea7d281e2ae36a58b328d07a5c501c14ec7bd2_0,standardized endocarditis diagnostic blood-culture kit
926731204d4d32ce5d12be2e1ac7474aaebe721f>9c6804cc6aab8225db7cadcb1d017acc1870fb1b_0,waist circumference comparison between Asian and Caucasian populations
6fb06cd519b017d10af1c1a281339f1937d0d2c1>18e7d7a03846d581c57ffd4077a1ec7e3c14bb06_1,chronic cyanotoxin (cylindrospermopsin/microcystin) renal pathology
4b40bf5ea0a2ded9d1f651c4d07bd5a5ab04fc73>daf678e8c63a4971516cf163fdd8178f3ae6b832_1,heterogeneity of accelerometer devices and body placement in activity studies
940cfb525f3fb275abf39d039674f8c31971f1a0>6141f8eea68c527cb67de50739e7a663101bdc37_0,implicit versus explicit motor adaptation to visuomotor rotation
416af104bf6794923b270d1dabc848388f4f9d51>f1bf860e3d8a17fb2d7b28af801c8e6bea441e39_0,circadian oscillation of Period1/Period2 mRNA in leukocytes
cf82d977a64226a15cca9fc0eea7de1e0078ce29>efe167e81022b9fb2b41ea7de996515c26f94838_17,competitive species interactions and antibiotic resistance in Streptomyces
3df4a4120f8357add79a02c4703e42898aa4f24e>d58eb08775c8497b0190e290e23dce0c0e946ebf_7,irradiance and cadmium concentration experimental parameters
0b8bdc9a685b682f08b6337296c98f5c5e731a08>a57e5cff0fcc4dfcdd552af023a3da0406401b89_0,femoral shaft bone strain during walking and stair ascent
b134efaa2d76001af5ddbfa28f4de13c7c104e6a>fa93b3f242dfdbb37fb2b105de1d81b85e5947a1_0,variability of stature estimation methods from skeletal remains
987de2d46a88313febaf70f8a3d9a473f7e99d9f>7dd52a6f6bb081fc729263e6a32718f58b26eb32_0,ACMG guideline-based classification of genetic variants
7d2ff74a78eebaef00ff3775e43e1bcf7304b860>36c8d5ac4ad66c67926311d03cfc7413bb299623_0,graphene oxide nanomaterials for drug delivery and bioimaging
711e19f044f0473774dc7e47f86f2f66f33bd795>344b60a1ce8a899864ead92ec387bbe624198208_0,Cu2+ binding to the Zn2+ site of SOD1 protein
591842a106001afa3d89b6c12d7715835f96cb4f>5bd0109fde4c01578b16a9d5a58d7870b0fd31fb_2,internal consistency reliability of a psychometric scale
c0958dd33b8fe8b63400345d4ae70b316acfe654>f22ae74ea1dd405108e55c996175e77ff0e575e4_2,MST1/2 kinase inhibitor compound promoting intestinal and liver repair
0c160181c3fa74d18e5b3a15cb351edd259efed4>42a0035bcddd0d0d1f8e19800e396ac4e1bc03a5_0,FCCP-induced cytosolic calcium rise independent of extracellular calcium
cf68e5a90b8c2cee51ce8681d22cdd937b88739f>19d9d5e14d4d3f3e4ef66e00cdbc11ff6a93e9d5_0,geographic hash table for storage-node location in a DCS protocol
0244de3610992df3e77b65de794861810a673a48>89634acca7f883bb26a15b1db301488353d8654d_8,reduced positive reaction-time bias to social sentences in social anxiety disorder
bdf00612fbc2538f89be3c0bee242950af63ccd3>4c1900303371ce90e269f4cbc040e9f028a5c5be_0,higher psychotropic medication use in autism versus controls
bfcf2ce170c0342e1887a9fc5e9af03874d04005>a04605ce088c7a712c1b0cd6da0e08fbfbc5ffce_1,cDNA cloning and restriction digestion of IGF-1 and IGF1-R plasmids
d81ed4cef91cfba207ddd24206ef67e384173eab>51eb13092fed4c7c05ac383fe03c0f8a25ba7f38_0,R1MP algorithm outperforming competing recovery algorithms
524ab3c482ffe910665751429539b15ec3a7e221>d921dadec0e089891652ab6fc2c7f0abbf2e4b70_1,GeneMarkS ab initio gene prediction for FHV-1 viral genome
0751ca9d7eb15f21e90374b6fcdc299948d2111e>6520584cb0d400b610e60c6195c0abb66cf7de11_2,CRISPR-Cas RNA generation underlying interference mechanism
3d06a37aa34d1808b5bac04d2ab023dd85344d8f>3a9691a10e3948d338a948cc16465d8c6ff75015_1,chlorhexidine versus povidone-iodine skin prep before vaginal hysterectomy
031a4d6f7ab525db9e782396b731d87fdc092cc1>92293f35ea20d289a5b638602e99d42aa3e1d8b5_1,worse clinical outcomes with more spinal fusion levels
3b608cc1943f9a07a47d13ea2f1e67b447030567>c829b63a3ae72a47e1953e1295826c7b2f93bf50_1,synonym-choice task accuracy scoring with partial credit
9ab238fe140cb4283b05c12112f595faec66bd14>4d918984370ce5e3447d9dbc467de5d050023b4c_0,Brca1 loss and Akt1 activation prevalence in breast cancer
bbacb6d3e8299c3ec753cdcaf182674574bca47e>d5d4344438368dc09d930d95b40459645be09bd8_4,modest gains in CA125 biomarker panel diagnostic sensitivity
2417526934446d81023af49f27bb7f52044bcb78>73f36294b5992a53e4f075e384fe30a13c629bb4_7,GC-rich exon 1c amplification underestimate in 5'-RACE
1ae85cfe32316d52bd823c184fd725d2c87a0cfe>075bac9659be1d4daf8f2cec37635980f2a4c1cd_3,comparison with the LI algorithm on Boolean program benchmarks
55c5271b7e1c473bbc206077ad8c2ac8b8325b1a>e90182dce93b0de1c81377a2e3114b6d0c043fc0_0,AST's role in RCC glycolysis via the malate-aspartate shuttle and Warburg effect
38543277b79b9199e0c248a47ad133a6d6342923>7bcd4b074bdb2e916f9848981928530842260b52_0,AZT-mediated reduction of TERT protein expression
