citation_id,citation_topic
d10a5a0f04c063a85e28f711c37e9606aef1a414>b15ccdb7254f9112bba41969c45b0ddcad9fa6bf_2,Ketamine dissociative conscious sedation definition
91fce28da66150930d2217bfe8bd25f8ef4099f6>14a1f5d8ab7a84907e713c1f429c613bb600d2bd_1,PTPRB/PTPRD downregulation and NSCLC survival outcomes
c97fb92bc9e4770de0e0781ec51da0074df0e2ae>e487046b914fb159e88c6620dcb96defe9854686_0,ClinVar and SIDD used for HPO-UMLS and disease-MeSH mapping
954a92422bf6ffba2a08525858f88d97ba38678a>adae66539ea835ad58ab896fdf1e12f59259bad4_4,rs2273535 SNP association with renal cell carcinoma risk
2d36743bd3403d05339d5141af8c790126266bf8>4f603ca1d0ff95be08c72b8268d68fd567b07ba8_0,Muscarinic receptors in mammalian atrial and ventricular myocytes
727c14bfa29c48e0f5d8173cb9ada312acb9d242>35c96b1cf334a61ec9c81b7ee0b71f06bcc87d60_0,Orbitofrontal cortex role in reversal learning
0012d808e76e1cd0e5ddeea10824a0811942a7e5>53bec9f572ae3b40e8c881b8f5fdb255ccbb9fb3_2,FGF signaling and epiblast cell migration through primitive streak
984398b55eaa9514fc766bec01de6d041484b177>1d8b1a9abb08493fbe19c4566b46d06e45e498ab_0,RPKM metric for RNA-seq read normalization
1d8d960f4c1bcd5fa93039b0d2f7e8c82e2b4d6f>f079647502ea163587ef3b85719bf50dbf9c36ed_3,ADAM family metalloproteinases in thymic T cell development
3f589edfaba00ce64a419b6ba6b02a1736aa068a>2bfe15413f41bb2b73308239940d6c7f73ed70a9_0,One-zero sampling method for scoring flight activity
a3c2257c93a36a7ac061e8d68865f44fa1e9b657>382970c1d324a2efcb7fec0c76a01419ad09b427_6,Hennessy and Milner's approximants to bisimilarity
9e23f0152fbe74f7b950e2de3015e70fbd2f7ef5>72d89701ddc89a57c6744e6bf7c457ce0a9d7130_0,AS1/AS2 transcription factor binding activity assay results
21171c7ed10dbea26b2b4989606ba716ea12d192>6ba8e09dba38051a4ce3a1584e628e88b55b2b0b_3,Tumor growth simulation model progression scenarios
19c46ece5f117b6b553040b14251a2f5afb1f452>3d97d0ef6058950be579df25f1cfe7bcaa55384b_0,DualNet visualization of node-link sub-network diagrams
74e7300b1d964895f1f860e0efc00883cde4e390>008942ee80d5c52abee2287663a2895c6b6849ae_0,Wheat Illumina 90K SNP array genotyping method
a44674ab7c7831506b7dcf5daade0a0c9b5c29cc>099aac0cd713e8c32c4c399a13b4f7442885255c_2,Rasip1 role in endothelial cell-cell adhesion integrity
dc1deee713031dad7a5bb56e7361c77ddf076bf3>a29356d8937b8fe6e619c62c83bc51692c069dac_0,CaMKII localization at postsynaptic densities in spines
