citation_id,new_classification,changed,rationale
5c691d1e253c982ebe4ecc60cffd26d1898fe832>2783be70248851324dd8a75aeba3f96bc90646d1_0,comparison,no,supportive agreement with prior studies' findings
a426b3750fc9c230a0c2911bf62d652f469e9304>07efd96b3eddb849248a95eebd99fb9a467a610f_0,comparison,no,own results concur with prior histopathologic findings
27ea0aa5f8d3e1dc7c449aceef59524dd32307b5>21cc7a2a24c33fe78ab21acf5ea2d548fa11b0d3_7,background,yes,"summarizes cited paper's own explanation, not own comparison"
7e0301ec29c9aae718d43ad58315e628a5767679>c1a99243ec8268942354e34cf01b9ae9b1346b87_0,comparison,no,results corroborate prior studies' findings
31ec0f412d866473d7a9e1aa12402a577b1dad27>9003b0c93173f3ebd1ebda41e71b985a21e0d9dd_0,background,yes,"citation supports general background claim, not direct comparison"
a0eafc11bf159d598475a07c98b9cedf30b86cb7>4957147f205941d97c60186eee1b1e4236bbee72_0,comparison,no,results in line with several other studies
710b60beaf543f24b4ae2030c36190c66a353366>ee8c037e6372c462dece8d63a0091f561fab03bb_8,comparison,no,results in keeping with previous research
15ac5bcd9ca900dc948e969558670084e3d560e0>5297cce880dad7881b5f4c16b683f971363f009a_11,background,yes,"context/motivation about research gap, not a method used"
c558a485ba1e24ed78fb313a6671b4e4e7b170a6>7c1344ac4e634db55f14b12ac25ec81681b256ed_0,comparison,no,results in line with other reports
540f1774e0dbd1ca4dbcfd654a535e84468dbe77>db91f919c600af867ea24b21339520087ac1efa1_0,methodology,no,prior work's modeling assumption is built upon
c530edac57ffa39997801a600c486eb231a87a6d>21b324399af869ff28634117eaaeaccfd52d371c_4,extension,yes,explicitly extends Lorden's prior result
340300238e998780678ad5f97c8e1807be13766d>560e28cb2e297629602a33fd6358703dfc8711a3_1,comparison,no,supported by previous published data
a2a412cb7a0c955d75649a3a3d0a24a44a46bf0a>805208c61377f04e674274038c0b2813f950e24c_0,comparison,no,in line with this prior observation
b33ba52906c566751170a657dd36e2ca4d4eab37>ea0140766b6befeb1b267b26eef824ea383be118_0,comparison,no,own results in accordance with earlier studies
b9df6d79613b105f437e693aebfeab59fc06f54f>0296f987ace5acfdd29f730b2477356cc85bca9a_0,usage,yes,specific markers/primers from cited works directly employed
30c675464ff3e433f690c912fe34f89574dba644>40f9a416d6fd2d9d705d57106df57cd4bff367ee_5,comparison,no,studies reported similar conclusions
9fcf3fa7f7ef7f4a72e7422482872be542f57c8b>33bbf7461e61ee7809d348340046e17b696c671c_0,methodology,no,describes own imaging procedure/approach
e8b28ea410efa058d78aa219498e4b417228cf71>e4ba0683cccd1a5c2c8200b48cf76a5fb96af984_6,usage,yes,"technique (ratiometry) used, per usage cue"
e4d01b31cdd2fa1aaabdd551b1ceb847aa89102d>590c3edb8863952082904ddf03f7309b4c680703_0,background,yes,general prior finding given as context
9319f13d0907495343008026b479f6db0df2cf13>f973b0afe9d6bd283a8cd88892413a661d347380_0,comparison,no,own result matches previously reported finding
de806db19e611f692e0d069aa8053220986524cc>3beae5d88887810293d47eb60dbef3f33c71f849_0,background,yes,describes reporting/differences among other publications
c503fdd0a141fddb72141b08ff6d8259d6b5342a>1d8b1a9abb08493fbe19c4566b46d06e45e498ab_8,background,yes,reports own stats; no clear method/usage adaptation signal
cefb4466e87b6d1d84b80bc798e81343e43fec3e>76736db6700a0a5ef10415a037e2efba8597c6b1_3,critique,yes,flags limitation of prior studies' narrow scope
2c0cab0d657f6c225c74736fed02750c381032de>02cdbca047e857f7e253b318fc593494925c1170_0,comparison,no,results similar to other reports
e05b9dd334e2b03c347ce3ef97dfaf13ae1b90b1>01bd740bd1f4913cf2168bead8027c1e1d1dedd9_0,comparison,no,ranking similar to and in agreement with other studies
dfdeea8ce2e3ef25084c297a09027e9d2bb1491e>aa53d8ec6cbe937cec842ce1f02853895ba56c3f_3,usage,yes,transformed coordinates using cited method directly
620fe6c786d15efca7f553ad70f295e2b693b391>3c9f2786dbff865e2fea873109ec5df8d485f733_0,methodology,no,follows standard approach described in cited works
384aea7011218d4097b5045fbb4ba650e0484cb4>4405fdb39abaa86447e9fffd6db6ad0ea041c208_0,usage,yes,"paradigm was used, passive usage cue"
