citation_id,new_classification,changed,rationale
937444dc1ba977382b4c92eb9eab8518401fe154>156fb7b12ac3780dc3135685202f9ca520b99d21_2,usage,yes,Employs previously established coculture protocol directly from cited study.
18795e4a45fc7bb77e703d8328a02a47fa10395a>07f2b7063c9df5eb289e02102fa59e4c6cb8828f_0,usage,yes,Metabolic device method used exactly as previously reported.
be33af30066063114e2d1324f845cecb98a585d7>114205dcb1821c3a56b641495be50bbe09322b8c_0,comparison,no,States approach is similar to several prior comparable studies.
b5fd7f5b4b592122f602bce425b79805965cbc17>f457620ef2373ad0369de2a6c6159c3115bd2329_1,background,yes,"General survey of field procedures, not citing paper's own method."
8f6270b9efe4b197a207499a4f2a3f5c749edcd0>79d896abf9bca75fddd1da60e027d11b8aa891f1_0,usage,yes,Directly reuses questionnaire/vignette instrument from a prior study.
bdc3a053b8dd9516ddcdfd8510f5aac0d14e3c17>None_0,comparison,no,Notes similarity of findings to general population literature.
0d16e1ff081f170337e530014df950ac5a5e83c8>f050627e5d20b53029f1d9fd334276ead4162e53_0,comparison,no,Own findings consistent with multiple prior rehabilitation studies.
d979312be476207ef8b666ca680ec2fa5b23cfcb>d0abcca2438de7c3055c15665bf84ee318aa16d7_0,background,yes,General background on bibliometric methods used across the field.
8a1dcd51cabbd95bf7212a42a8fc5bae5d6b65e1>668c6321b924dc59c2fccf8328f4dde13906ebe1_0,comparison,no,Finding compatible with several previous investigations' results.
4aa183c9a3f4b28fa3f24b433bcc79d2f36de198>8c6471d93aba664a5cef3981a0f77ff49c88f879_0,critique,yes,Explicitly contradicts prior study's OPG findings after fracture healing.
6200ad39e133ab169c83ca96a29b5ab47b07c675>67c9984328066bf9019152a7c4c325941694bfa7_0,methodology,no,Established statistical method adapted into own phylogenetic analysis.
6edc1302aeea0cd4b0d00403b06f9d6abe0fcfc6>925571016821ec0a71411e62281e546a769b30a2_0,usage,yes,"Attempted direct use of specific named recombinase tools, unsuccessful."
800ec2373cfc2706baa123c57aeb06c4f8d2279c>46d8cc36dbf30b274aa7edbd36ed319556ea8047_4,comparison,no,Describes cited protocols in a manner similar to own approach.
1a2114515c8aee2fb46a56fbffba0f2285570d02>72716e49b923a84db430e100feb7f6cb975f3302_3,comparison,no,Explicitly benchmarks own algorithm against cited dynamic programming method.
