citation_id,new_classification,changed,rationale
11467b30c9acdac224af3e5adc97ee37eb1d0074>97a40b5b09a7c49ac58ed6e7490cfa089a35db82_2,extension,yes,"Own tool explicitly ""builds upon"" Ruffus for pipeline management"
a95d725b46531862586ab79ceed567fa0ab0a3c6>fda2ffb3dda65d4290d00b110d8141e584a49869_0,comparison,no,Fits original heuristic label; no strong contrary evidence
497824c5613d5641eefd07e7281885d321b5a86a>489f1c42927dca534bc78c0754fa30ad51605d9a_4,methodology,no,Fits original heuristic label; no strong contrary evidence
dfe1a4f32e8a8a59eb4213734049749cbeda662d>e6c47faf3919afad6c55d3956d85d5b78fa98a5e_1,comparison,no,Fits original heuristic label; no strong contrary evidence
e1467d898256d346b64d958a1355c7da24ce0feb>542bfcb85fd66befb08e233bb8bdf12e0091af99_0,comparison,no,Fits original heuristic label; no strong contrary evidence
2552609a1e171b4855aaf76a57cd025b10b02d8c>bc38c643eba27c6d7cc4a209ae37c9d987a3375e_0,usage,yes,Published transcriptome datasets directly used for BLAST searches
0f8bf5077829a672ec4aedd197ecc5889a647de4>cffb565783ab4329679c1b9d888c1e6a1c0923eb_8,comparison,no,Fits original heuristic label; no strong contrary evidence
7c9eedc102d73eeffb07410efeaa590c0b04c1fe>cf6b7a930c422ee1e7ea96c01be20770f2d937d1_3,methodology,no,Fits original heuristic label; no strong contrary evidence
c40e4f321b9d40c855a6cb4a76e4d8b6c54c9774>735b4388b99958c6e43d2d85caca6773acccbe56_0,usage,yes,"Method ""previously described"" is directly reused/applied here"
ae24b1e782ed19ac1bd75f08a24e8fa1006e3611>710d6808750b71906eb6abc0fe42921313697d7e_6,methodology,no,Fits original heuristic label; no strong contrary evidence
3e1ebef8a8899ba3771f431e41ba35b93adb5da5>2df8a5720085d5e47bf8cd1366abf8fb996d6f56_0,methodology,no,Fits original heuristic label; no strong contrary evidence
c09f51a6e8a10964d44adcd2a325e8382219253d>38bef2a04234bf5ac194c05985418e3b6add70d6_0,methodology,no,Fits original heuristic label; no strong contrary evidence
4c700869e4ab2020d15d2ebec2ee0776fce3410a>6ebd21b7abe728491a59e19a177f5b539bfed7e2_3,background,yes,"Purely describes cited paper's own prior work, no reuse shown"
07d3dd16090421def8ab02574b6170f9d0ea9917>59f54d4663d58e01342eee1462c8968b11bda6e6_1,comparison,no,Fits original heuristic label; no strong contrary evidence
70f5c6a5d841bcc30702efc22b2df562ea193ef0>None_0,critique,yes,"""Differs from"" prior studies: genuine conflicting result"
4e238982c852a9f7f3d6ebd888354a0f1a65921e>0b3105ffc308f25ce10387aa568a5048582cec6f_3,comparison,no,Fits original heuristic label; no strong contrary evidence
fd954be600a25a685dece1dd7118035e270ffc7a>13d455598df90628864bca0122480b04a8879ac6_0,comparison,no,Fits original heuristic label; no strong contrary evidence
8ecfc23f2ccf8d967a57e340b871750e4a5dc18b>5caefb0a09442600314cf0fdf10fded1168997e8_5,comparison,no,Fits original heuristic label; no strong contrary evidence
5d6344f6beae40b2045ad5df10aba80721a38491>13d4c2f76a7c1a4d0a71204e1d5d263a3f5a7986_4,methodology,no,Fits original heuristic label; no strong contrary evidence
ea569b85984f79ecce6d26d0bbaa9a9062a33781>b53b6b7ffd1435c2c6a1b6684f9975b73648d131_0,background,yes,"Explains word choice via prior studies' usage, general motivation"
1327903921367d530e8a521f110497b0dd5dafd8>c7174b0679b8a8f05a65b1142cfea436eb2c3b46_1,methodology,no,Fits original heuristic label; no strong contrary evidence
7e810cad85ceedc00f62df0029e2cc274a9418ec>ecdbbdcd5f21e210b26c1e1252a7eca16c0b3347_1,methodology,no,Fits original heuristic label; no strong contrary evidence
d47a55e61b83373dcb896c0f0f0c6dcb89aa28fd>4493db6859a8550d2d41b0eb29c75d6045df884e_3,background,yes,"Describes field history of other papers extending a model, not authors' own work"
