citation_id,new_classification,changed,rationale
0d6450b1c2d76cad5e6bedbe3c860a99147b9062>91ef14f48e5796aa3d4109888c539654b0c0c3ac_0,critique,yes,Used scale but abandoned due to poor inter-rater reliability
cba83c913735eb3c6482a483e1ddac5873a568ed>4aaac440531a3bda93bd8e8dd54f4a6f819ed9ff_0,methodology,no,Background note that AAI was applied in adolescents
0b8bdc9a685b682f08b6337296c98f5c5e731a08>a57e5cff0fcc4dfcdd552af023a3da0406401b89_9,comparison,no,Agreement with earlier studies' findings
5e0cd28026ed80b7327a875f57f3abe3e228a7da>300758b1dbeb87861c339135ab98e02cd2e41159_0,comparison,no,Similar result to cited study
5f9e27fd212e0eac30dd8b2e9a53d422f5ca0bd4>9e4ab179a114ed860aebd5ee4699406aa7088069_2,methodology,no,Adopts DOAS retrieval method as done elsewhere
4856e1e0dea4bbc486840101ffe6e410056cc78c>375ded3d4c1f91e9d7bc33b0e0bbc8f9ecd96e64_2,comparison,no,Symptom similar to previously described patients
c6a9ead4339c51f134ca712048b3732d48e5b110>4595fe252f00600889591ddfea5e7a417d118eab_1,usage,yes,AASM grading scale directly used to assess acceptability
757d49e6dea40a7131d972186f5c3295c9bc4ccc>99c6174c0997f772d774f5a49ea1af01253ed944_3,methodology,no,Uses standard evaluation measures from the field
f3a6373c5d4030f9d727d9238b1d44300eb339df>21b05fd9a2c9bf7d30e6d9472a5a897720ec373b_2,methodology,no,Adopted amplitude value used successfully before
55c48343a8b4a4bdd74d1c93b2b5181216faffbd>033e3fe75da26d8d3dd3cb0f99640181655e6746_0,critique,yes,Cited techniques explicitly limited in invariance
33898a1a5251208fc69cf85ef363a1e5f157dbfc>4e8fd0df356b4323420157ff5db7855f0d52c053_0,comparison,no,Supports prior unpublished study's findings
8fbf5951a34cac5319f900fd85db00c8b0addc87>1dbe7a4f86d40ff18af360f5fd1295ee9527a456_2,critique,yes,Drawback versus Black and Jepson method noted
a67c354e045f7c099c66238ae7b4b1fb74e77989>72cfe9cd8e489d04dfb617a2a226c2e4bb45430d_2,comparison,no,Numeric similarity between patient groups
7ec38f5874c15a89d98625ef823addaa820503b1>0754161bc6e6c725aa0507827455fd94a7affad4_1,usage,yes,Concordia/UCI handwritten digit datasets directly used
00eea3644491b0fcf74c49aa211fa2a24a6e3d3e>2271b873cf8e52856c38eae82751d2b1421007c5_3,methodology,no,Gene selection based on prior RNAi results
