citation_id,new_classification,changed,rationale
8845193713134cb2b44a942a419a433663cd9161>f70b654ceea4edd60ca82fcac12735cc384a4179_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
05163f766acadc1d720d2d7955c313e87f9c2249>e84c47bfe8019c363e9280f3a85d6812556835ac_6,extension,yes,"Extends prior analysis, addresses new error source it introduces"
3f45e8559a96c61937fbaddc87c17caa4f781923>f2a7d1d87310c6146c99592977df5d89f58aff8c_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
ff0d8176b6cb2c95c4ef50bcc634bd37ffabf1b2>1fdfeb2b7c8b5245ab8b407bc1464561685b8c66_1,background,yes,"Reports other studies' finding as context, no explicit comparison"
6523f26c9f4fa56ecebd0ad92ca47900a873d782>9f110815bff8294a64526ddfe21ba4b739a8f08b_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
469ae6a2caa20cdd0c3a33fba89adbaf36f46792>8bb7adfdf3ddb3c57fed258645af6ae4f84c7c41_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
1097bfa2514c68a3f473e685efca902a704f457a>None_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
7b81e30541a9b6f4e2acd1e25a66151f0abc2023>f90732a232fd2944b4c184d957ff3db54fa4c4d6_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
7703f0c8e3146bba8ed44600b6deb759bdd03835>a79770dedc500eac4f63fa7cbf1557c57bab0779_1,comparison,no,Supportive/contrastive comparison to other results; no clear critique
a5e4b411fb574f12ea46980b5f21bcbbe432ea41>b0c33fc55f6e792b359b025a8b811fb420d77d3a_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
7de32bac0485a2b8d302e6b3d855ed237b61c25c>c5e2dfb49736a002cc60bb235f187402197c62df_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
afe521a707b642ace0b70c57ccc4c12366083c68>cd33bc7037fca0cf8448bf1c668d296f51d691a1_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
06a8baa6ee9a1c6266c6e9f45c6005063f362ae6>f682815858b2237503414de5848242e6cee99892_7,comparison,no,Supportive/contrastive comparison to other results; no clear critique
9462acef826a6b495fe8fb281660ee4418bb840e>21aaceb3fc27e8cc831e25191d967daa0d8962bf_4,comparison,no,Supportive/contrastive comparison to other results; no clear critique
0fa02caf1b7d5036ffb6f90b20c050c7be0dafe0>49980cf42abcdb23bae03b29548a8602154dd437_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
f5a8e7aca6bc5c40f960f181bbc91a4655af85ea>7e46b87bde7bbc01bccef88ce45b7dc3a761b173_1,comparison,no,Supportive/contrastive comparison to other results; no clear critique
0b55e00f94c78b69b55dd4dc8a3a4765fe97953f>None_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
5f3c84d9291c75d34690e626ff4af1b053e13ebc>1713695284c16e05d88b719c52f073dc9f5a0e06_6,comparison,no,Supportive/contrastive comparison to other results; no clear critique
21dbf449ff5b39e1dc4b65fb87eaa7e8abc3ae83>b8d851c0cdeb3996ce634a2f75c9f30bd91389cb_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
de68e00914c4f26923915b114bc6e4235ea4624c>111467672297cee5e3ae0d624c6ead7ab9b02013_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
901077d4ad9080b04cc178eea5c459a75ca79bdd>4e3427bd6cc0dd0290be6c146b46bda6ad05403f_10,comparison,no,Supportive/contrastive comparison to other results; no clear critique
c05d20e2008397ef18c3ff559b4e5a9ab56bcb9a>None_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
08baac54a3dcf69a804483504c0807361ce65923>None_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
2d36743bd3403d05339d5141af8c790126266bf8>4f603ca1d0ff95be08c72b8268d68fd567b07ba8_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
c2ca96bda6c9e03366c2a0a816c0a7c3f995ad17>e28d1846f0181db3825145c8babf4de340c1542e_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
991fbde8cbf415150a08b5acfe8d04ba0e1198fa>4a25bf73afc311870a5b2271da6024c5e8f5bb6c_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
26f03fb8fc36592368c058ea248828c6013d412f>827ceea8d0b18357746cb38125fc78bae6f01ceb_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
8032035c697c6a729ba6aa260f37d70c87e47f80>569945a4a1eaac60f0b5c1895866fd1ab44812f3_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
a0835424eda9eb03eafdf7701b57bf40919c3f39>b8156e53735f8fb35b64351d8366ae410dcc10ec_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
7065a8da370eed184c79c614b60e2bade5ab0a8d>db36b92ec0ac30d24f8cc5f1e4938cd09c295de9_7,comparison,no,Supportive/contrastive comparison to other results; no clear critique
bc9931a38d2d68a6578c6434e38ca39709399999>79c5fc14fc743c0214a8736615354adee966b31c_0,critique,yes,'Contrary to' the previous study's reported finding
32ea32efe772213a20e9a2c339855a8c0a968557>b4facb522be23b950b6e9761488cc7ce78f784b6_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
96d59f09d602d930beddbc2785972d443efa4d93>723a4b4f3019cd5a5f8546925d8cf4478a0d03b7_4,critique,yes,Finding contradicts authors' own prior analysis result
8dfa37d9118597e766d00ccfd87003d60f6477c5>87d0428d1094e534fcf1f28e40e95311e196db58_2,critique,yes,'By contrast' cited study found opposite effect
96b7bb0bb5e6f8fb9e614c2b95a80324a9385d9f>808d071cc7eb02eac4122ed37481aa40870e4641_0,critique,yes,"Notes cited study's limitation: adult rabbits, not juvenile animals"
2eb4969576aa13487c087bcadfce196a46a96405>f375431b6149f1d5b2013ab305619799bcb4eefc_7,comparison,no,Supportive/contrastive comparison to other results; no clear critique
1aafe80a8f9e3a4eaa4af56f02ce2e20ea6c894f>0025dc3527afbabfb572b3a00c91107ececb939c_4,comparison,no,Supportive/contrastive comparison to other results; no clear critique
a862b66dded379f1d5b433f507ab18b248ad9dbe>4a422651a5c3d1ecbc41bd9001d91b36a37d7590_0,critique,yes,'Contrast with' cited work's differing survival factor finding
36f6bac942846487d41b7f4072c1db9c7d3c710e>48678557cc3d86f8a1cdfc8dbbecc58c998c2929_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
731f4b9498ec9276c76f8bf1e3c32a50eb9394ab>a4cf4bb41fb0b6fa978fd1456e86308218c8e882_1,methodology,yes,Cited framework adapted to define own goal-recognition task
3bb7ffc611d7e254ffd5e17d51b419e7bc4542f0>d2426236ccfdd84af206eca9209d88a16b290ffc_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
e74e5461911c311b5d12a0dfe168682e94aaaf27>b8400b1f1d9bee6dcf3eb15fb33c1a140df714fc_1,comparison,no,Supportive/contrastive comparison to other results; no clear critique
5fb6c991097f85eb092f524ea0fe77743344c252>77ab14bf8ae73542b5aea276462f6815f6c60482_4,critique,yes,'Although' previous reports suggest opposite of new finding
b973c738888166c52d32931362f8a50e7eae47b6>a06a5e49ecd12418dd5ac6330e32bfa851e0f2db_0,critique,yes,Results 'contrast with' previous studies' superior-learning finding
9ca235836b24dcc3fcf8e2e94b04631ad78c2af6>919cd52f5762a5231915abf0d796552b367b335d_3,critique,yes,Flags cited study's methodological limitation/caution needed
096d79200f27d1ad60d5509f7e4f4a9d018fd973>e8780bbec0f7ca8479abd1d496a32fb7c833fb1e_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
87daa2bd0cd6c36d9b14c7af8a16cdedebcac653>b86bb28b35bf4950a68961085e85e04cda686f62_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
d463b2cfb584fde6ddc1c5139cd8ed9dd6c6f7ea>e8070421f7dd939650abdfbc8c9dc62556dd829c_0,critique,yes,Result is 'contrary to' the previous report's finding
d8f915342dee431558368107381583a6db146135>da1bfc89bdd64622df21b78a99235ec0d2512ba7_2,comparison,no,Supportive/contrastive comparison to other results; no clear critique
ec1e98f09ece1c0595deca70e9adbe46685f7850>b5af4bf2fd53644e12e4345ea3cd7f4027ace764_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
51c7b381edeec1f0fb4e3c3f7a4d5a5bf2a49a28>01994833ad94026b07221b3ae0e57783c016b67d_2,comparison,no,Supportive/contrastive comparison to other results; no clear critique
8956d21008001dd4dcaec4a4f1cc8b031bc052e6>None_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
0546b87aef157bf494f5e75c959235abe11f1e1b>2a178f45f4e668ac32cc13ffc4ce998da33af2b1_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
67b2532d1d9cc72465d4110a348c715082bb8128>0a658d002f85990ade49d315ae990d1de0566aaf_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
965387da8f6d115c6d41f0f2d53573212e4c9207>82ba9a0253de77b41c6ccec8d7fd653bd2ecd006_4,comparison,no,Supportive/contrastive comparison to other results; no clear critique
551c30c8c3ffd11bb00ffef7d89fa3bec52a1102>f25f4beb189c66b5d0e805ab5a667765137f1787_10,comparison,no,Supportive/contrastive comparison to other results; no clear critique
2c8b6647b7c5fad5e28b59ed44baaf9b9212ac47>6acdb9514ea23fe114bccc6ec4453ad6c684de6f_2,critique,yes,Result 'differed from' previous study's specific claim
b53cb0888d09fd987354b9dd28eb2f74c3dc67aa>7c4e7c31a07306cb8bbf1e2b7bb26177dc11426d_1,comparison,no,Supportive/contrastive comparison to other results; no clear critique
bc1467e73cc22ddcdcf81e023aa51edabe6e8e07>8260345d84f7769df5096f073603c9c11741504a_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
74082d6bdf4dd6196cf3268fb30eb1336b8d1f36>5f8b5dff6e403bd5fd3f1369cbad2e04c7fde838_0,extension,yes,Explicit improvement on previous bounds established by others
80160aee8cdcbc26e6b65dd28fd07246c349140c>9b191008e5ce88ef5fb79694fa7fb8d7ab10170b_9,comparison,no,Supportive/contrastive comparison to other results; no clear critique
45b1377b45f2fbf6bb266582d1c17c767d822cac>e9be1208676efc08a7eb18ed8375f9e6b21df259_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
dfd6fa2b54ea1e2ec8e2f7a8e996677816e9866a>None_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
d765fbc079a4e59888ecc22553114806a7f73b44>0ff285d6a0f8be60a710fbb97a800f6ca101efe2_0,comparison,no,Supportive/contrastive comparison to other results; no clear critique
